Quarter,Part_No,Part_Desc,Supplier,Region,ABC_Class,Unit_Cost_EUR,LT_obs1_days,LT_obs2_days,LT_obs3_days,LT_obs4_days,LT_obs5_days,LT_obs6_days,EDI_LeadTime_days,WH_Demand_Wk1_units,WH_Demand_Wk2_units,WH_Demand_Wk3_units,WH_Demand_Wk4_units,WH_Demand_Wk5_units,WH_Demand_Wk6_units,WH_Demand_Wk7_units,WH_Demand_Wk8_units
Q1,DEMO-001,Housing-001,Demo Supplier A,CN,B,14.52,33,41,37,45,31,34,36,255,247,319,196,291,237,323,346
Q1,DEMO-002,Seal-002,Demo Supplier B,TW,A,80.92,27,30,29,26,31,32,31,226,253,189,303,272,240,223,174
Q1,DEMO-003,Screw-003,Demo Supplier C,DE,A,62.64,12,9,13,10,11,9,11,184,157,174,212,208,189,153,133
Q1,DEMO-004,Bracket-004,Demo Supplier D,DE,C,10.96,9,14,9,9,8,10,10,190,103,91,157,105,175,145,95
Q1,DEMO-005,Contact-005,Demo Supplier A,CN,B,21.2,31,43,51,41,28,36,40,307,278,452,303,374,293,208,490
Q1,DEMO-006,Connector-006,Demo Supplier B,TW,A,31.44,25,30,27,28,29,29,29,362,410,404,322,262,418,381,487
Q1,DEMO-007,Spring-007,Demo Supplier C,DE,C,10.42,19,15,17,14,16,10,15,251,275,376,289,315,235,239,218
Q1,DEMO-008,Bushing-008,Demo Supplier D,DE,C,3.83,11,8,10,9,12,13,10,197,203,200,169,204,213,214,191
Q1,DEMO-009,Panel-009,Demo Supplier A,CN,B,25.93,25,37,32,39,39,32,36,145,191,153,126,179,169,180,207
Q1,DEMO-010,Plate-010,Demo Supplier B,TW,A,11.24,27,26,41,33,31,26,31,660,927,805,768,655,677,561,632
Q1,DEMO-011,Housing-011,Demo Supplier C,DE,A,95.03,14,14,13,13,13,13,14,492,475,515,449,485,561,443,483
Q1,DEMO-012,Seal-012,Demo Supplier D,DE,B,11.84,11,13,11,11,12,11,12,191,369,281,323,258,365,234,343
Q1,DEMO-013,Screw-013,Demo Supplier A,CN,C,21.9,49,48,53,52,43,53,51,83,107,53,120,121,95,91,108
Q1,DEMO-014,Bracket-014,Demo Supplier B,TW,C,0.61,39,34,32,35,34,40,35,112,181,223,199,154,136,144,146
Q1,DEMO-015,Contact-015,Demo Supplier C,DE,B,21.75,11,9,11,11,11,12,11,141,212,195,173,173,177,192,164
Q1,DEMO-016,Connector-016,Demo Supplier D,DE,C,3.47,13,12,12,13,14,13,13,655,623,467,662,475,348,776,511
Q1,DEMO-017,Spring-017,Demo Supplier A,CN,C,4.7,48,54,45,44,41,45,48,80,72,71,74,86,81,81,81
Q1,DEMO-018,Bushing-018,Demo Supplier B,TW,C,2.23,25,26,27,23,31,28,26,154,144,157,165,152,148,135,140
Q1,DEMO-019,Panel-019,Demo Supplier C,DE,C,6.97,11,12,12,14,11,12,12,202,153,239,206,170,214,249,216
Q1,DEMO-020,Plate-020,Demo Supplier D,DE,C,1.55,8,7,11,6,9,8,8,178,190,195,140,244,209,106,109
Q1,DEMO-021,Housing-021,Demo Supplier A,CN,B,23.38,50,49,45,53,39,51,46,255,219,200,147,170,238,294,170
Q1,DEMO-022,Seal-022,Demo Supplier B,TW,C,8.65,27,25,30,32,25,30,28,213,198,212,238,355,213,348,195
Q1,DEMO-023,Screw-023,Demo Supplier C,DE,B,23.32,10,11,12,10,11,11,11,286,173,281,210,326,338,262,281
Q1,DEMO-024,Bracket-024,Demo Supplier D,DE,C,1.86,9,11,12,11,13,11,12,519,521,613,525,509,542,543,468
Q1,DEMO-025,Contact-025,Demo Supplier A,CN,C,5.79,33,41,34,33,43,55,40,560,393,628,295,468,529,295,494
Q1,DEMO-026,Connector-026,Demo Supplier B,TW,C,4.22,30,30,32,38,35,38,36,93,93,84,79,108,93,91,99
Q1,DEMO-027,Spring-027,Demo Supplier C,DE,B,12.43,12,8,13,9,12,12,11,198,350,387,201,184,322,364,332
Q1,DEMO-028,Bushing-028,Demo Supplier D,DE,A,19.79,9,9,7,9,7,7,8,315,390,449,262,454,345,481,384
Q1,DEMO-029,Panel-029,Demo Supplier A,CN,C,12.22,44,41,34,47,47,28,38,234,281,226,228,284,278,285,252
Q1,DEMO-030,Plate-030,Demo Supplier B,TW,B,12.11,26,26,29,28,27,24,25,408,374,415,474,351,346,264,281
