Quarter,Part_No,Part_Desc,Supplier,Region,ABC_Class,Unit_Cost_EUR,LT_obs1_days,LT_obs2_days,LT_obs3_days,LT_obs4_days,LT_obs5_days,LT_obs6_days,EDI_LeadTime_days,WH_Demand_Wk1_units,WH_Demand_Wk2_units,WH_Demand_Wk3_units,WH_Demand_Wk4_units,WH_Demand_Wk5_units,WH_Demand_Wk6_units,WH_Demand_Wk7_units,WH_Demand_Wk8_units
Q3,DEMO-001,Housing-001,Demo Supplier A,CN,B,14.52,32,34,35,42,31,26,32,250,314,227,314,311,269,333,252
Q3,DEMO-002,Seal-002,Demo Supplier B,TW,A,80.92,18,25,26,29,28,27,28,249,235,289,331,218,300,281,186
Q3,DEMO-003,Screw-003,Demo Supplier C,DE,A,62.64,15,9,10,14,11,11,11,183,122,261,146,160,211,239,140
Q3,DEMO-004,Bracket-004,Demo Supplier D,DE,C,10.96,8,10,8,9,11,10,11,131,155,210,123,204,203,150,157
Q3,DEMO-005,Contact-005,Demo Supplier A,CN,B,21.2,54,40,49,34,28,25,42,518,323,374,475,448,222,109,234
Q3,DEMO-006,Connector-006,Demo Supplier B,TW,A,31.44,29,29,27,27,29,30,28,414,449,436,468,370,399,432,349
Q3,DEMO-007,Spring-007,Demo Supplier C,DE,C,10.42,14,11,10,15,16,12,14,264,327,197,275,190,302,168,190
Q3,DEMO-008,Bushing-008,Demo Supplier D,DE,C,3.83,9,10,11,12,12,8,11,256,211,232,223,223,213,269,196
Q3,DEMO-009,Panel-009,Demo Supplier A,CN,B,25.93,38,41,37,28,45,33,38,155,189,129,209,197,185,172,180
Q3,DEMO-010,Plate-010,Demo Supplier B,TW,A,11.24,38,61,56,66,58,43,39,591,788,693,693,720,607,641,951
Q3,DEMO-011,Housing-011,Demo Supplier C,DE,A,95.03,11,12,13,11,11,12,12,545,487,520,532,507,504,533,544
Q3,DEMO-012,Seal-012,Demo Supplier D,DE,B,11.84,13,11,13,12,12,12,12,376,281,334,386,208,194,269,293
Q3,DEMO-013,Screw-013,Demo Supplier A,CN,C,21.9,45,51,50,41,45,50,47,80,68,82,82,109,109,68,141
Q3,DEMO-014,Bracket-014,Demo Supplier B,TW,C,0.61,32,40,40,33,42,36,35,134,175,189,163,104,148,226,175
Q3,DEMO-015,Contact-015,Demo Supplier C,DE,B,21.75,10,10,10,11,12,11,11,168,164,205,145,194,204,182,165
Q3,DEMO-016,Connector-016,Demo Supplier D,DE,C,3.47,13,14,13,14,13,13,13,618,450,675,300,559,501,425,402
Q3,DEMO-017,Spring-017,Demo Supplier A,CN,C,4.7,50,58,65,52,58,69,54,73,64,61,62,63,71,75,60
Q3,DEMO-018,Bushing-018,Demo Supplier B,TW,C,2.23,26,18,21,23,27,33,26,132,133,137,145,134,126,132,134
Q3,DEMO-019,Panel-019,Demo Supplier C,DE,C,6.97,13,10,12,12,11,11,12,186,242,210,199,228,231,227,215
Q3,DEMO-020,Plate-020,Demo Supplier D,DE,C,1.55,8,10,10,6,8,7,8,156,226,124,207,166,208,217,97
Q3,DEMO-021,Housing-021,Demo Supplier A,CN,B,23.38,44,46,43,45,45,41,50,246,142,219,235,186,280,121,213
Q3,DEMO-022,Seal-022,Demo Supplier B,TW,C,8.65,30,38,30,37,28,29,30,240,154,321,181,254,179,167,249
Q3,DEMO-023,Screw-023,Demo Supplier C,DE,B,23.32,10,9,11,12,14,9,10,258,257,243,228,256,197,320,187
Q3,DEMO-024,Bracket-024,Demo Supplier D,DE,C,1.86,10,11,10,11,11,13,12,445,437,438,448,469,440,477,480
Q3,DEMO-025,Contact-025,Demo Supplier A,CN,C,5.79,40,41,56,44,44,42,42,413,384,231,362,297,598,564,577
Q3,DEMO-026,Connector-026,Demo Supplier B,TW,C,4.22,39,37,36,42,40,37,37,91,78,85,98,83,79,78,88
Q3,DEMO-027,Spring-027,Demo Supplier C,DE,B,12.43,16,9,11,11,10,9,11,229,257,263,349,431,398,331,259
Q3,DEMO-028,Bushing-028,Demo Supplier D,DE,A,19.79,10,6,9,8,8,9,8,348,447,444,412,451,486,332,394
Q3,DEMO-029,Panel-029,Demo Supplier A,CN,C,12.22,53,41,36,35,44,44,44,214,151,270,255,297,211,342,317
Q3,DEMO-030,Plate-030,Demo Supplier B,TW,B,12.11,30,30,31,32,30,30,28,381,421,365,302,357,341,319,361
